trimestre,ano,data_contabil,reg_ans,descricao,valor
1,2025,2025-01-01,315729,EVENTOS/SINISTROS CONHECIDOS OU AVISADOS DE ASSISTÊNCIA À SAÚDE,150617980.59
1,2025,2025-01-01,317012,EVENTOS/SINISTROS CONHECIDOS OU AVISADOS DE ASSISTÊNCIA À SAÚDE,14459494.41
1,2025,2025-01-01,318035,EVENTOS/SINISTROS CONHECIDOS OU AVISADOS DE ASSISTÊNCIA À SAÚDE,13281667.6
1,2025,2025-01-01,317233,EVENTOS/SINISTROS CONHECIDOS OU AVISADOS DE ASSISTÊNCIA À SAÚDE,69183931.15
1,2025,2025-01-01,313751,EVENTOS/SINISTROS CONHECIDOS OU AVISADOS DE ASSISTÊNCIA À SAÚDE,9311983.3
1,2025,2025-01-01,316148,EVENTOS/SINISTROS CONHECIDOS OU AVISADOS DE ASSISTÊNCIA À SAÚDE,23832819.18
1,2025,2025-01-01,312851,EVENTOS/SINISTROS CONHECIDOS OU AVISADOS DE ASSISTÊNCIA À SAÚDE,205407865.52
1,2025,2025-01-01,313149,EVENTOS/SINISTROS CONHECIDOS OU AVISADOS DE ASSISTÊNCIA À SAÚDE,1603721.59
1,2025,2025-01-01,315583,EVENTOS/SINISTROS CONHECIDOS OU AVISADOS DE ASSISTÊNCIA À SAÚDE,7083815.59
1,2025,2025-01-01,316881,EVENTOS/SINISTROS CONHECIDOS OU AVISADOS DE ASSISTÊNCIA À SAÚDE,33922104.75
1,2025,2025-01-01,314242,EVENTOS/SINISTROS CONHECIDOS OU AVISADOS DE ASSISTÊNCIA À SAÚDE,9065848.21
1,2025,2025-01-01,317632,EVENTOS/SINISTROS CONHECIDOS OU AVISADOS DE ASSISTÊNCIA À SAÚDE,79276076.54
1,2025,2025-01-01,315478,EVENTOS/SINISTROS CONHECIDOS OU AVISADOS DE ASSISTÊNCIA À SAÚDE,364742497.9
1,2025,2025-01-01,314587,EVENTOS/SINISTROS CONHECIDOS OU AVISADOS DE ASSISTÊNCIA À SAÚDE,10357420.16
1,2025,2025-01-01,314781,EVENTOS/SINISTROS CONHECIDOS OU AVISADOS DE ASSISTÊNCIA À SAÚDE,7586219.47
1,2025,2025-01-01,312720,EVENTOS/SINISTROS CONHECIDOS OU AVISADOS DE ASSISTÊNCIA À SAÚDE,153087745.8
1,2025,2025-01-01,316458,EVENTOS/SINISTROS CONHECIDOS OU AVISADOS DE ASSISTÊNCIA À SAÚDE,6654769.02
1,2025,2025-01-01,334511,EVENTOS/SINISTROS CONHECIDOS OU AVISADOS DE ASSISTÊNCIA À SAÚDE,0.0
1,2025,2025-01-01,335789,EVENTOS/SINISTROS CONHECIDOS OU AVISADOS DE ASSISTÊNCIA À SAÚDE,6026181.49
1,2025,2025-01-01,337498,EVENTOS/SINISTROS CONHECIDOS OU AVISADOS DE ASSISTÊNCIA À SAÚDE,17353529.14
1,2025,2025-01-01,333239,EVENTOS/SINISTROS CONHECIDOS OU AVISADOS DE ASSISTÊNCIA À SAÚDE,327877.36
1,2025,2025-01-01,335215,EVENTOS/SINISTROS CONHECIDOS OU AVISADOS DE ASSISTÊNCIA À SAÚDE,32036679.87
1,2025,2025-01-01,336467,EVENTOS/SINISTROS CONHECIDOS OU AVISADOS DE ASSISTÊNCIA À SAÚDE,3561761.8
1,2025,2025-01-01,331872,EVENTOS/SINISTROS CONHECIDOS OU AVISADOS DE ASSISTÊNCIA À SAÚDE,156529846.85
1,2025,2025-01-01,333051,EVENTOS/SINISTROS CONHECIDOS OU AVISADOS DE ASSISTÊNCIA À SAÚDE,56703033.04
1,2025,2025-01-01,333689,EVENTOS/SINISTROS CONHECIDOS OU AVISADOS DE ASSISTÊNCIA À SAÚDE,0.0
1,2025,2025-01-01,335517,EVENTOS/SINISTROS CONHECIDOS OU AVISADOS DE ASSISTÊNCIA À SAÚDE,18757426.0
1,2025,2025-01-01,335592,EVENTOS/SINISTROS CONHECIDOS OU AVISADOS DE ASSISTÊNCIA À SAÚDE,270493515.55
1,2025,2025-01-01,335614,EVENTOS/SINISTROS CONHECIDOS OU AVISADOS DE ASSISTÊNCIA À SAÚDE,334571901.63
1,2025,2025-01-01,337188,EVENTOS/SINISTROS CONHECIDOS OU AVISADOS DE ASSISTÊNCIA À SAÚDE,67198914.11
1,2025,2025-01-01,336017,EVENTOS/SINISTROS CONHECIDOS OU AVISADOS DE ASSISTÊNCIA À SAÚDE,881195.84
1,2025,2025-01-01,334154,EVENTOS/SINISTROS CONHECIDOS OU AVISADOS DE ASSISTÊNCIA À SAÚDE,19750274.23
1,2025,2025-01-01,335690,EVENTOS/SINISTROS CONHECIDOS OU AVISADOS DE ASSISTÊNCIA À SAÚDE,731661974.79
1,2025,2025-01-01,337561,EVENTOS/SINISTROS CONHECIDOS OU AVISADOS DE ASSISTÊNCIA À SAÚDE,4000926.67
1,2025,2025-01-01,336831,EVENTOS/SINISTROS CONHECIDOS OU AVISADOS DE ASSISTÊNCIA À SAÚDE,31218337.19
1,2025,2025-01-01,334561,EVENTOS/SINISTROS CONHECIDOS OU AVISADOS DE ASSISTÊNCIA À SAÚDE,166677558.44
1,2025,2025-01-01,335100,EVENTOS/SINISTROS CONHECIDOS OU AVISADOS DE ASSISTÊNCIA À SAÚDE,299840666.92
1,2025,2025-01-01,335258,EVENTOS/SINISTROS CONHECIDOS OU AVISADOS DE ASSISTÊNCIA À SAÚDE,5445045.63
1,2025,2025-01-01,333808,EVENTOS/SINISTROS CONHECIDOS OU AVISADOS DE ASSISTÊNCIA À SAÚDE,14157955.14
1,2025,2025-01-01,335541,EVENTOS/SINISTROS CONHECIDOS OU AVISADOS DE ASSISTÊNCIA À SAÚDE,17577919.24
1,2025,2025-01-01,331651,EVENTOS/SINISTROS CONHECIDOS OU AVISADOS DE ASSISTÊNCIA À SAÚDE,19374997.75
1,2025,2025-01-01,337374,EVENTOS/SINISTROS CONHECIDOS OU AVISADOS DE ASSISTÊNCIA À SAÚDE,62771619.91
1,2025,2025-01-01,331988,EVENTOS/SINISTROS CONHECIDOS OU AVISADOS DE ASSISTÊNCIA À SAÚDE,107911621.19
1,2025,2025-01-01,333867,EVENTOS/SINISTROS CONHECIDOS OU AVISADOS DE ASSISTÊNCIA À SAÚDE,3497216.82
1,2025,2025-01-01,336106,EVENTOS/SINISTROS CONHECIDOS OU AVISADOS DE ASSISTÊNCIA À SAÚDE,81023941.94
1,2025,2025-01-01,334243,EVENTOS/SINISTROS CONHECIDOS OU AVISADOS DE ASSISTÊNCIA À SAÚDE,1589414.59
1,2025,2025-01-01,333662,EVENTOS/SINISTROS CONHECIDOS OU AVISADOS DE ASSISTÊNCIA À SAÚDE,38230133.91
1,2025,2025-01-01,335479,EVENTOS/SINISTROS CONHECIDOS OU AVISADOS DE ASSISTÊNCIA À SAÚDE,97602867.47
1,2025,2025-01-01,335754,EVENTOS/SINISTROS CONHECIDOS OU AVISADOS DE ASSISTÊNCIA À SAÚDE,26705614.17
1,2025,2025-01-01,336858,EVENTOS/SINISTROS CONHECIDOS OU AVISADOS DE ASSISTÊNCIA À SAÚDE,20446373.6
1,2025,2025-01-01,334847,EVENTOS/SINISTROS CONHECIDOS OU AVISADOS DE ASSISTÊNCIA À SAÚDE,3864315.65
1,2025,2025-01-01,335657,EVENTOS/SINISTROS CONHECIDOS OU AVISADOS DE ASSISTÊNCIA À SAÚDE,6355130.93
1,2025,2025-01-01,333875,EVENTOS/SINISTROS CONHECIDOS OU AVISADOS DE ASSISTÊNCIA À SAÚDE,12910698.34
1,2025,2025-01-01,343404,EVENTOS/SINISTROS CONHECIDOS OU AVISADOS DE ASSISTÊNCIA À SAÚDE,456852.8
1,2025,2025-01-01,340952,EVENTOS/SINISTROS CONHECIDOS OU AVISADOS DE ASSISTÊNCIA À SAÚDE,103564720.95
1,2025,2025-01-01,342033,EVENTOS/SINISTROS CONHECIDOS OU AVISADOS DE ASSISTÊNCIA À SAÚDE,182151232.9
1,2025,2025-01-01,343765,EVENTOS/SINISTROS CONHECIDOS OU AVISADOS DE ASSISTÊNCIA À SAÚDE,7053098.66
1,2025,2025-01-01,344141,EVENTOS/SINISTROS CONHECIDOS OU AVISADOS DE ASSISTÊNCIA À SAÚDE,906076.58
1,2025,2025-01-01,338648,EVENTOS/SINISTROS CONHECIDOS OU AVISADOS DE ASSISTÊNCIA À SAÚDE,53707837.49
1,2025,2025-01-01,340251,EVENTOS/SINISTROS CONHECIDOS OU AVISADOS DE ASSISTÊNCIA À SAÚDE,17814689.32
1,2025,2025-01-01,342556,EVENTOS/SINISTROS CONHECIDOS OU AVISADOS DE ASSISTÊNCIA À SAÚDE,52919238.97
1,2025,2025-01-01,343463,EVENTOS/SINISTROS CONHECIDOS OU AVISADOS DE ASSISTÊNCIA À SAÚDE,17881191.25
1,2025,2025-01-01,344184,EVENTOS/SINISTROS CONHECIDOS OU AVISADOS DE ASSISTÊNCIA À SAÚDE,870623.44
1,2025,2025-01-01,343722,EVENTOS/SINISTROS CONHECIDOS OU AVISADOS DE ASSISTÊNCIA À SAÚDE,3092026.22
1,2025,2025-01-01,342131,EVENTOS/SINISTROS CONHECIDOS OU AVISADOS DE ASSISTÊNCIA À SAÚDE,7008542.91
1,2025,2025-01-01,343056,EVENTOS/SINISTROS CONHECIDOS OU AVISADOS DE ASSISTÊNCIA À SAÚDE,999387.0
1,2025,2025-01-01,343269,EVENTOS/SINISTROS CONHECIDOS OU AVISADOS DE ASSISTÊNCIA À SAÚDE,245045365.32
1,2025,2025-01-01,342343,EVENTOS/SINISTROS CONHECIDOS OU AVISADOS DE ASSISTÊNCIA À SAÚDE,11512466.77
1,2025,2025-01-01,339458,EVENTOS/SINISTROS CONHECIDOS OU AVISADOS DE ASSISTÊNCIA À SAÚDE,1080645.17
1,2025,2025-01-01,342611,EVENTOS/SINISTROS CONHECIDOS OU AVISADOS DE ASSISTÊNCIA À SAÚDE,23153541.99
1,2025,2025-01-01,343676,EVENTOS/SINISTROS CONHECIDOS OU AVISADOS DE ASSISTÊNCIA À SAÚDE,14743583.84
